"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\admin.py", "Python", 13, 0, 4, 17
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\apps.py", "Python", 4, 0, 3, 7
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0001_initial.py", "Python", 54, 1, 7, 62
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0002_initial.py", "Python", 21, 1, 7, 29
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0003_alter_factoryprofile_user_alter_product_sizes.py", "Python", 20, 1, 6, 27
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0004_alter_colorvariation_image.py", "Python", 12, 1, 6, 19
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0005_factoryprofile_supplier_id.py", "Python", 13, 1, 6, 20
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0006_alter_factoryprofile_supplier_id.py", "Python", 12, 1, 6, 19
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0007_factoryprofile_visit_count.py", "Python", 12, 1, 6, 19
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0008_factoryprofile_imagoco.py", "Python", 12, 1, 6, 19
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0009_factoryprofile_avatar.py", "Python", 12, 1, 6, 19
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0010_product_in_stock.py", "Python", 12, 1, 6, 19
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0011_storecategory_product_store_category.py", "Python", 21, 1, 6, 28
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0012_commissionsettings_sellercommission.py", "Python", 23, 1, 6, 30
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0013_promotion_promotionapplication_productpromotion.py", "Python", 43, 1, 6, 50
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\0014_remove_promotion_banner_image_and_more.py", "Python", 19, 1, 6, 26
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\migrations\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\models.py", "Python", 126, 1, 42, 169
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\serializers.py", "Python", 83, 1, 38, 122
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\shared_views\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\shared_views\get_my_percentage.py", "Python", 15, 0, 4, 19
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\shared_views\promotions.py", "Python", 15, 1, 6, 22
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\shared_views\register_box.py", "Python", 135, 16, 38, 189
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\shared_views\stock_update.py", "Python", 18, 0, 4, 22
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\shared_views\store_category.py", "Python", 47, 1, 20, 68
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\tests.py", "Python", 1, 1, 2, 4
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\urls.py", "Python", 50, 0, 10, 60
"c:\Users\HP\Desktop\optal\server-optal\server-optal\server_optal\factories\views.py", "Python", 404, 7, 99, 510
"Total", "-", 1197, 42, 358, 1597
